Daily_Period,TMA_Daily,
6/14/2023,15.41666667,
6/15/2023,10,
6/16/2023,10,
6/17/2023,10,
6/18/2023,10,
6/19/2023,31.66666667,
6/20/2023,15,
6/21/2023,10,
6/22/2023,13.75,
6/23/2023,12.91666667,
6/24/2023,10.83333333,
6/25/2023,10,
6/26/2023,10,
6/27/2023,10,
6/28/2023,10,
6/29/2023,10,
6/30/2023,10,
7/1/2023,10.83333333,
7/2/2023,10,
7/3/2023,10,
7/4/2023,10,
7/5/2023,10,
7/6/2023,11.25,
7/7/2023,10,
7/8/2023,13.75,
7/9/2023,11.25,
7/10/2023,10,
7/11/2023,10,
7/12/2023,10,
7/13/2023,10,
7/14/2023,10,
7/15/2023,10,
7/16/2023,10,
7/17/2023,10,
7/18/2023,10,
7/19/2023,10,
7/20/2023,10,
7/21/2023,10,
7/22/2023,10,
7/23/2023,10,
7/24/2023,10,
7/25/2023,10,
7/26/2023,10,
7/27/2023,10,
7/28/2023,10,
7/29/2023,10,
7/30/2023,10,
7/31/2023,12.29166667,
8/1/2023,10,
8/2/2023,10,
8/3/2023,10,
8/4/2023,10,
8/5/2023,10,
8/6/2023,10,
8/7/2023,10,
8/8/2023,10,
8/9/2023,10,
8/10/2023,10,
8/11/2023,10,
8/12/2023,10,
8/13/2023,10,
8/14/2023,10,
8/15/2023,10,
8/16/2023,10,
8/17/2023,10,
8/18/2023,10,
8/19/2023,10,
8/20/2023,10,
8/21/2023,10,
8/22/2023,10,
8/23/2023,10,
8/24/2023,10,
8/25/2023,10,
8/26/2023,10,
8/27/2023,10,
8/28/2023,10,
8/29/2023,10,
8/30/2023,10,
8/31/2023,10,
9/1/2023,10,
9/2/2023,10,
9/3/2023,10,
9/4/2023,10,
9/5/2023,10,
9/6/2023,10,
9/7/2023,10,
9/8/2023,10,
9/9/2023,10,
9/10/2023,10,
9/11/2023,10,
9/12/2023,12.08333333,
9/13/2023,10,
9/14/2023,10,
9/15/2023,10,
9/16/2023,10,
9/17/2023,10,
9/18/2023,10.83333333,
9/19/2023,10,
9/20/2023,10,
9/21/2023,10,
9/22/2023,10,
9/23/2023,10,
9/24/2023,10,
9/25/2023,10,
9/26/2023,11.66666667,
9/27/2023,10,
9/28/2023,10,
9/29/2023,10,
9/30/2023,10,
10/1/2023,13.33333333,
10/2/2023,10,
10/3/2023,10,
10/4/2023,10,
10/5/2023,10,
10/6/2023,10,
10/7/2023,10,
